,future,rate,open,close,open_perp,close_perp
2021-10-23T16:00:00+00:00,MKR-PERP,6.3e-05,2527.0,2517.0,2533.0,2523.5
2021-10-23T17:00:00+00:00,MKR-PERP,6.1e-05,2517.0,2515.0,2523.5,2520.5
2021-10-23T17:00:00+00:00,MKR-PERP,6.1e-05,2517.0,2515.0,2523.5,2520.5
2021-10-23T17:00:00+00:00,MKR-PERP,6.1e-05,2517.0,2515.0,2523.5,2520.5
2021-10-23T17:00:00+00:00,MKR-PERP,6.1e-05,2517.0,2515.0,2523.5,2520.5
2021-10-23T18:00:00+00:00,MKR-PERP,7.1e-05,2515.0,2507.0,2520.5,2513.5
2021-10-23T18:00:00+00:00,MKR-PERP,7.1e-05,2515.0,2507.0,2520.5,2513.5
2021-10-23T18:00:00+00:00,MKR-PERP,7.1e-05,2515.0,2507.0,2520.5,2513.5
2021-10-23T18:00:00+00:00,MKR-PERP,7.1e-05,2515.0,2507.0,2520.5,2513.5
2021-10-23T19:00:00+00:00,MKR-PERP,6.7e-05,2507.0,2502.0,2513.5,2507.0
2021-10-23T19:00:00+00:00,MKR-PERP,6.7e-05,2507.0,2502.0,2513.5,2507.0
2021-10-23T19:00:00+00:00,MKR-PERP,6.7e-05,2507.0,2502.0,2513.5,2507.0
2021-10-23T19:00:00+00:00,MKR-PERP,6.7e-05,2507.0,2502.0,2513.5,2507.0
2021-10-23T20:00:00+00:00,MKR-PERP,6.9e-05,2502.0,2499.0,2507.0,2506.5
2021-10-23T20:00:00+00:00,MKR-PERP,6.9e-05,2502.0,2499.0,2507.0,2506.5
2021-10-23T20:00:00+00:00,MKR-PERP,6.9e-05,2502.0,2499.0,2507.0,2506.5
2021-10-23T20:00:00+00:00,MKR-PERP,6.9e-05,2502.0,2499.0,2507.0,2506.5
2021-10-23T21:00:00+00:00,MKR-PERP,7.9e-05,2499.0,2511.5,2506.5,2517.0
2021-10-23T21:00:00+00:00,MKR-PERP,7.9e-05,2499.0,2511.5,2506.5,2517.0
2021-10-23T21:00:00+00:00,MKR-PERP,7.9e-05,2499.0,2511.5,2506.5,2517.0
